mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
1376,,Retail Purchase,,,,,,,10/8/2012,
1378,,Retail Purchase,,,,,,,10/8/2012,
1379,,Retail Purchase,,,,,,,10/8/2012,
1380,,Retail Purchase,,,,,,,10/8/2012,
1381,,Retail Purchase,,,,,,,10/8/2012,
1382,,Retail Purchase,,,,,,,10/8/2012,
1383,,Retail Purchase,,,,,,,10/8/2012,
1384,,Retail Purchase,,,,,,,10/8/2012,
1385,,Retail Purchase,,,,,,,10/8/2012,
1386,,Retail Purchase,,,,,,,10/8/2012,
1387,,Retail Purchase,,,,,,,10/8/2012,
1388,,Retail Purchase,,,,,,,10/8/2012,
1389,,Retail Purchase,,,,,,,10/8/2012,
1390,,Retail Purchase,,,,,,,10/8/2012,
1391,,Retail Purchase,,,,,,,10/8/2012,
1392,,Retail Purchase,,,,,,,10/8/2012,
1393,,Retail Purchase,,,,,,,10/8/2012,
1394,,Retail Purchase,,,,,,,10/8/2012,
1395,,Retail Purchase,,,,,,,10/8/2012,
1396,,Retail Purchase,,,,,,,10/8/2012,
1397,,Retail Purchase,,,,,,,10/8/2012,
1398,,Retail Purchase,,,,,,,10/8/2012,
1399,,Retail Purchase,,,,,,,10/8/2012,
1400,,Retail Purchase,,,,,,,10/8/2012,
1401,,Retail Purchase,,,,,,,10/8/2012,
1402,,Retail Purchase,,,,,,,10/8/2012,
1403,,Retail Purchase,,,,,,,10/8/2012,
1404,,Retail Purchase,,,,,,,10/8/2012,
1405,,Retail Purchase,,,,,,,10/8/2012,
1406,,Retail Purchase,,,,,,,10/8/2012,
1407,,Retail Purchase,,,,,,,10/8/2012,
1408,,Retail Purchase,,,,,,,10/8/2012,
1409,,Retail Purchase,,,,,,,10/8/2012,
1410,,Retail Purchase,,,,,,,10/8/2012,
1411,,Retail Purchase,,,,,,,10/8/2012,
1412,,Retail Purchase,,,,,,,10/8/2012,
1413,,Retail Purchase,,,,,,,10/8/2012,
1414,,Retail Purchase,,,,,,,10/8/2012,
1415,,Retail Purchase,,,,,,,10/8/2012,
1416,,Retail Purchase,,,,,,,10/8/2012,
1417,,Retail Purchase,,,,,,,10/8/2012,
1418,,Retail Purchase,,,,,,,10/8/2012,
1419,,Retail Purchase,,,,,,,10/8/2012,
1420,,Retail Purchase,,,,,,,10/8/2012,
1421,,Retail Purchase,,,,,,,10/8/2012,
1422,,Retail Purchase,,,,,,,10/8/2012,
1423,,Retail Purchase,,,,,,,10/8/2012,
1424,,Retail Purchase,,,,,,,10/8/2012,
1425,,Retail Purchase,,,,,,,10/8/2012,
1426,,Retail Purchase,,,,,,,10/8/2012,
1427,,Retail Purchase,,,,,,,10/8/2012,
1428,,Retail Purchase,,,,,,,10/8/2012,
1429,,Retail Purchase,,,,,,,10/8/2012,
1430,,Retail Purchase,,,,,,,10/8/2012,
1431,,Retail Purchase,,,,,,,10/8/2012,
1432,,Retail Purchase,,,,,,,10/8/2012,
1433,,Retail Purchase,,,,,,,10/8/2012,
1434,,Retail Purchase,,,,,,,10/8/2012,
1435,,Retail Purchase,,,,,,,10/8/2012,
1436,,Retail Purchase,,,,,,,10/8/2012,
1437,,Retail Purchase,,,,,,,10/8/2012,
1438,,Retail Purchase,,,,,,,10/8/2012,
1439,,Retail Purchase,,,,,,,10/8/2012,
1440,,Retail Purchase,,,,,,,10/8/2012,
1441,,Retail Purchase,,,,,,,10/8/2012,
1442,,Retail Purchase,,,,,,,10/8/2012,
1443,,Retail Purchase,,,,,,,10/8/2012,
1444,,Retail Purchase,,,,,,,10/8/2012,
1445,,Retail Purchase,,,,,,,10/8/2012,
1446,,Retail Purchase,,,,,,,10/8/2012,
1447,,Retail Purchase,,,,,,,10/8/2012,
1448,,Retail Purchase,,,,,,,10/8/2012,
1449,,Retail Purchase,,,,,,,10/8/2012,
1450,,Retail Purchase,,,,,,,10/8/2012,
1451,,Retail Purchase,,,,,,,10/8/2012,
1452,,Retail Purchase,,,,,,,10/8/2012,
1453,,Retail Purchase,,,,,,,10/8/2012,
1454,,Retail Purchase,,,,,,,10/8/2012,
1455,,Retail Purchase,,,,,,,10/8/2012,
1456,,Retail Purchase,,,,,,,10/8/2012,
1457,,Retail Purchase,,,,,,,10/8/2012,
1458,,Retail Purchase,,,,,,,10/8/2012,
1459,,Retail Purchase,,,,,,,10/8/2012,
1460,,Retail Purchase,,,,,,,10/8/2012,
1461,,Retail Purchase,,,,,,,10/8/2012,
1462,,Retail Purchase,,,,,,,10/8/2012,
1463,,Retail Purchase,,,,,,,10/8/2012,
1464,,Retail Purchase,,,,,,,10/8/2012,
1465,,Retail Purchase,,,,,,,10/8/2012,
1466,,Retail Purchase,,,,,,,10/8/2012,
1467,,Retail Purchase,,,,,,,10/8/2012,
1468,,Retail Purchase,,,,,,,10/8/2012,
1469,,Retail Purchase,,,,,,,10/8/2012,
1470,,Retail Purchase,,,,,,,10/8/2012,
1471,,Retail Purchase,,,,,,,10/8/2012,
1472,,Retail Purchase,,,,,,,10/8/2012,
1473,,Retail Purchase,,,,,,,10/8/2012,
1474,,Retail Purchase,,,,,,,10/8/2012,
1475,,Retail Purchase,,,,,,,10/8/2012,
1476,,Retail Purchase,,,,,,,10/8/2012,
1477,,Retail Purchase,,,,,,,10/8/2012,
1478,,Retail Purchase,,,,,,,10/8/2012,
1479,,Retail Purchase,,,,,,,10/8/2012,
1480,,Retail Purchase,,,,,,,10/8/2012,
1481,,Retail Purchase,,,,,,,10/8/2012,
1482,,Retail Purchase,,,,,,,10/8/2012,
1483,,Retail Purchase,,,,,,,10/8/2012,
1484,,Retail Purchase,,,,,,,10/8/2012,
1485,,Retail Purchase,,,,,,,10/8/2012,
1486,,Retail Purchase,,,,,,,10/8/2012,
1487,,Retail Purchase,,,,,,,10/8/2012,
1488,,Retail Purchase,,,,,,,10/8/2012,
1489,,Retail Purchase,,,,,,,10/8/2012,
1490,,Retail Purchase,,,,,,,10/8/2012,
1491,,Retail Purchase,,,,,,,10/8/2012,
1492,,Retail Purchase,,,,,,,10/8/2012,
1493,,Retail Purchase,,,,,,,10/8/2012,
1494,,Retail Purchase,,,,,,,10/8/2012,
1495,,Retail Purchase,,,,,,,10/8/2012,
1496,,Retail Purchase,,,,,,,10/8/2012,
1497,,Retail Purchase,,,,,,,10/8/2012,
1498,,Retail Purchase,,,,,,,10/8/2012,
1499,,Retail Purchase,,,,,,,10/8/2012,
1500,,Retail Purchase,,,,,,,10/8/2012,
1501,,Retail Purchase,,,,,,,10/8/2012,
1502,,Retail Purchase,,,,,,,10/8/2012,
1503,,Retail Purchase,,,,,,,10/8/2012,
1504,,Retail Purchase,,,,,,,10/8/2012,
1520, Gen Cont Residential Buildi,Retail Purchase,,,,,,,10/8/2012,
1521,,Retail Purchase,,,,,,,10/8/2012,
1522,,Retail Purchase,,,,,,,10/8/2012,
1524,,Retail Purchase,,,,,,,10/8/2012,
1525,,Retail Purchase,,,,,,,10/8/2012,
1526,,Retail Purchase,,,,,,,10/8/2012,
1527,,Retail Purchase,,,,,,,10/8/2012,
1528,,Retail Purchase,,,,,,,10/8/2012,
1529,,Retail Purchase,,,,,,,10/8/2012,
1530,,Retail Purchase,,,,,,,10/8/2012,
1531,,Retail Purchase,,,,,,,10/8/2012,
1711," Heating,Plumbing,Air Condit",Retail Purchase,,,,,,,10/8/2012,
1731, Electrical Contractors,Retail Purchase,,,,,,,10/8/2012,
1740," Masonry,Stonework,Tile Sett",Retail Purchase,,,,,,,10/8/2012,
1750, Carpentry Contractors,Retail Purchase,,,,,,,10/8/2012,
1761," Roofing And Siding,Sheet Me",Retail Purchase,,,,,,,10/8/2012,
1771, Concrete Work Contractors,Retail Purchase,,,,,,,10/8/2012,
1799, Special Trade Contractors,Retail Purchase,,,,,,,10/8/2012,
2013,,Retail Purchase,,,,,,,10/8/2012,
2014,,Retail Purchase,,,,,,,10/8/2012,
2097,,Retail Purchase,,,,,,,10/8/2012,
2102,,Retail Purchase,,,,,,,10/8/2012,
2111,,Retail Purchase,,,,,,,10/8/2012,
2131,,Retail Purchase,,,,,,,10/8/2012,
2133,,Retail Purchase,,,,,,,10/8/2012,
2215,,Retail Purchase,,,,,,,10/8/2012,
2231,,Retail Purchase,,,,,,,10/8/2012,
2310,,Retail Purchase,,,,,,,10/8/2012,
2346,,Retail Purchase,,,,,,,10/8/2012,
2348,,Retail Purchase,,,,,,,10/8/2012,
2360,,Retail Purchase,,,,,,,10/8/2012,
2364,,Retail Purchase,,,,,,,10/8/2012,
2367,,Retail Purchase,,,,,,,10/8/2012,
2369,,Retail Purchase,,,,,,,10/8/2012,
2376,,Retail Purchase,,,,,,,10/8/2012,
2380,,Retail Purchase,,,,,,,10/8/2012,
2385,,Retail Purchase,,,,,,,10/8/2012,
2386,,Retail Purchase,,,,,,,10/8/2012,
2387,,Retail Purchase,,,,,,,10/8/2012,
2388,,Retail Purchase,,,,,,,10/8/2012,
2397,,Retail Purchase,,,,,,,10/8/2012,
2398,,Retail Purchase,,,,,,,10/8/2012,
2399,,Retail Purchase,,,,,,,10/8/2012,
2401,,Retail Purchase,,,,,,,10/8/2012,
2411,,Retail Purchase,,,,,,,10/8/2012,
2412,,Retail Purchase,,,,,,,10/8/2012,
2414,,Retail Purchase,,,,,,,10/8/2012,
2419,,Retail Purchase,,,,,,,10/8/2012,
2420,,Retail Purchase,,,,,,,10/8/2012,
2425,,Retail Purchase,,,,,,,10/8/2012,
2432,,Retail Purchase,,,,,,,10/8/2012,
2433,,Retail Purchase,,,,,,,10/8/2012,
2434,,Retail Purchase,,,,,,,10/8/2012,
2437,,Retail Purchase,,,,,,,10/8/2012,
2453,,Retail Purchase,,,,,,,10/8/2012,
2454,,Retail Purchase,,,,,,,10/8/2012,
2456,,Retail Purchase,,,,,,,10/8/2012,
2461,,Retail Purchase,,,,,,,10/8/2012,
2481,,Retail Purchase,,,,,,,10/8/2012,
2483,,Retail Purchase,,,,,,,10/8/2012,
2489,,Retail Purchase,,,,,,,10/8/2012,
2490,,Retail Purchase,,,,,,,10/8/2012,
2491,,Retail Purchase,,,,,,,10/8/2012,
2494,,Retail Purchase,,,,,,,10/8/2012,
2501,,Retail Purchase,,,,,,,10/8/2012,
2502,,Retail Purchase,,,,,,,10/8/2012,
2503,,Retail Purchase,,,,,,,10/8/2012,
2511,,Retail Purchase,,,,,,,10/8/2012,
2520,,Retail Purchase,,,,,,,10/8/2012,
2521,,Retail Purchase,,,,,,,10/8/2012,
2522,,Retail Purchase,,,,,,,10/8/2012,
2523,,Retail Purchase,,,,,,,10/8/2012,
2524,,Retail Purchase,,,,,,,10/8/2012,
2525,,Retail Purchase,,,,,,,10/8/2012,
2526,,Retail Purchase,,,,,,,10/8/2012,
2527,,Retail Purchase,,,,,,,10/8/2012,
2528,,Retail Purchase,,,,,,,10/8/2012,
2529,,Retail Purchase,,,,,,,10/8/2012,
2530,,Retail Purchase,,,,,,,10/8/2012,
2531,,Retail Purchase,,,,,,,10/8/2012,
2541,,Retail Purchase,,,,,,,10/8/2012,
2543,,Retail Purchase,,,,,,,10/8/2012,
2548,,Retail Purchase,,,,,,,10/8/2012,
2722,,Retail Purchase,,,,,,,10/8/2012,
2732,,Retail Purchase,,,,,,,10/8/2012,
2734,,Retail Purchase,,,,,,,10/8/2012,
2741, Misc-Publishing/Printing,Retail Purchase,,,,,,,10/8/2012,
2791, Typesetting/Plate Related,Retail Purchase,,,,,,,10/8/2012,
2842, Special Clean/Polish/Sanit,Retail Purchase,,,,,,,10/8/2012,
2912,,Retail Purchase,,,,,,,10/8/2012,
2941,,Retail Purchase,,,,,,,10/8/2012,
2942,,Retail Purchase,,,,,,,10/8/2012,
2946,,Retail Purchase,,,,,,,10/8/2012,
2961,,Retail Purchase,,,,,,,10/8/2012,
2994,,Retail Purchase,,,,,,,10/8/2012,
2995,,Retail Purchase,,,,,,,10/8/2012,
3000, United Airlines,Transportation,,,,,,,10/8/2012,
3001, American Airlines,Transportation,,,,,,,10/8/2012,
3002, Pan American,Transportation,,,,,,,10/8/2012,
3003,,Transportation,,,,,,,10/8/2012,
3004, DRAGONAIR,Transportation,,,,,,,10/8/2012,
3005, British Airways,Transportation,,,,,,,10/8/2012,
3006, Japan Air Lines,Transportation,,,,,,,10/8/2012,
3007, Air France,Transportation,,,,,,,10/8/2012,
3008, Lufthansa,Transportation,,,,,,,10/8/2012,
3009, Air Canada,Transportation,,,,,,,10/8/2012,
3010, KLM,Transportation,,,,,,,10/8/2012,
3011, Aeroflot,Transportation,AEROFLOT,АЭРОФЛОТ,ARBAT ST.,,RUS,MOSCOW,10/8/2012,
3012, Qantas,Transportation,,,,,,,10/8/2012,
3013, Alitalia,Transportation,,,,,,,10/8/2012,
3014, Saudi Arabian Airlines,Transportation,,,,,,,10/8/2012,
3015, Swiss International Air Lin,Transportation,,,,,,,10/8/2012,
3016, SAS,Transportation,,,,,,,10/8/2012,
3017, South African Airways,Transportation,,,,,,,10/8/2012,
3018, Varig (Brazil),Transportation,,,,,,,10/8/2012,
3019, GERMANWINGS,Transportation,,,,,,,10/8/2012,
3020, Air-India,Transportation,,,,,,,10/8/2012,
3021, Air Algerie Airalgerei,Transportation,,,,,,,10/8/2012,
3022, PAL AIR,Transportation,,,,,,,10/8/2012,
3023, Mexicana,Transportation,,,,,,,10/8/2012,
3024, Pakistan Int'l,Transportation,,,,,,,10/8/2012,
3025, Air New Zealand,Transportation,,,,,,,10/8/2012,
3026, Emirates Airlines,Transportation,,,,,,,10/8/2012,
3027, UTA/InterAir,Transportation,,,,,,,10/8/2012,
3028, Air Malta,Transportation,,,,,,,10/8/2012,
3029, SN Brussels Airlines,Transportation,,,,,,,10/8/2012,
3030, Aerolineas Argentinas,Transportation,,,,,,,10/8/2012,
3031, Olympic Airways,Transportation,,,,,,,10/8/2012,
3032, El Al,Transportation,,,,,,,10/8/2012,
3033, Ansett Airlines,Transportation,,,,,,,10/8/2012,
3034, TAA (Australia),Transportation,,,,,,,10/8/2012,
3035, TAP (Portugal),Transportation,,,,,,,10/8/2012,
3036, VASP (Brazil),Transportation,,,,,,,10/8/2012,
3037, EgyptAir,Transportation,,,,,,,10/8/2012,
3038, Kuwait Airways,Transportation,,,,,,,10/8/2012,
