mcc,mccgrp
5983,Retail Purchase
5983,Retail Purchase
5983,Retail Purchase
5983,Retail Purchase
5983,Retail Purchase
5983,Retail Purchase
5983,Retail Purchase
5991,Retail Purchase
5992,Retail Purchase
5993,Retail Purchase
5994,Retail Purchase
5995,Retail Purchase
5996,Retail Purchase
5997,Retail Purchase
5998,Retail Purchase
5999,Retail Purchase
5999,Retail Purchase
5999,Retail Purchase
6010,  Cash
6011,Financial Institutions
6012,Retail Purchase
6022,Retail Purchase
6023,Retail Purchase
6025,Retail Purchase
6026,Retail Purchase
6028,Retail Purchase
6050,Unique
6051,Unique
6051,Unique
6051,Unique
6051,Unique
6051,Unique
6211,Retail Purchase
6300,Retail Purchase
6300,Retail Purchase
6300,Retail Purchase
6310,Retail Purchase
6513,Retail Purchase
6529,Unique
6530,Unique
6531,Retail Purchase
6532,Payment Services
6533,Payment Services
6534,Unique
6535,Retail Purchase
6536,Retail Purchase
6537,Retail Purchase
6538,Retail Purchase
6539,Unique
6540,Retail Purchase
6541,Retail Purchase
6542,Retail Purchase
6543,Retail Purchase
6555,Payment Services
7010,Retail Purchase
7011,Hotel/Motel
7012,Retail Purchase
7013,Retail Purchase
7014,Retail Purchase
7015,Retail Purchase
7032,Retail Purchase
7033,Retail Purchase
7210,Retail Purchase
7211,Retail Purchase
7216,Retail Purchase
7217,Retail Purchase
7221,Retail Purchase
7230,Retail Purchase
7231,Retail Purchase
7232,Retail Purchase
7251,Retail Purchase
7261,Retail Purchase
7273,Retail Purchase
7276,Retail Purchase
7277,Retail Purchase
7278,Retail Purchase
7296,Retail Purchase
7297,Retail Purchase
7298,Retail Purchase
7299,Retail Purchase
7299,Retail Purchase
7311,Retail Purchase
7321,Retail Purchase
7333,Retail Purchase
7338,Retail Purchase
7339,Retail Purchase
7342,Retail Purchase
7349,Retail Purchase
7361,Retail Purchase
7372,Retail Purchase
7375,Retail Purchase
7379,Retail Purchase
7392,Retail Purchase
7393,Retail Purchase
7394,Retail Purchase
7395,Retail Purchase
7399,Retail Purchase
7511,Unique
7512,Vehicle Rental
7513,Vehicle Rental
7519,Vehicle Rental
7523,Retail Purchase
7531,Retail Purchase
7534,Retail Purchase
7535,Retail Purchase
7538,Retail Purchase
7539,Retail Purchase
7542,Retail Purchase
7549,Retail Purchase
7622,Retail Purchase
7623,Retail Purchase
7629,Retail Purchase
7631,Retail Purchase
7641,Retail Purchase
7692,Retail Purchase
7699,Retail Purchase
7829,Retail Purchase
7832,Retail Purchase
7841,Retail Purchase
7911,Retail Purchase
7922,Retail Purchase
7929,Retail Purchase
7932,Retail Purchase
7933,Retail Purchase
7941,Retail Purchase
7987,Retail Purchase
7988,Retail Purchase
7989,Retail Purchase
7990,Retail Purchase
7991,Retail Purchase
7992,Retail Purchase
7993,Retail Purchase
7994,Retail Purchase
7995,Unique
7996,Retail Purchase
7997,Retail Purchase
7998,Retail Purchase
7999,Retail Purchase
8011,Retail Purchase
8021,Retail Purchase
8031,Retail Purchase
8041,Retail Purchase
8042,Retail Purchase
8043,Retail Purchase
8044,Retail Purchase
8049,Retail Purchase
8050,Retail Purchase
8062,Retail Purchase
8071,Retail Purchase
8099,Retail Purchase
8111,Retail Purchase
8211,Retail Purchase
8220,Retail Purchase
8241,Retail Purchase
8244,Retail Purchase
8249,Retail Purchase
8299,Retail Purchase
8351,Retail Purchase
8398,Retail Purchase
8411,Retail Purchase
8412,Retail Purchase
8641,Retail Purchase
8651,Retail Purchase
8661,Retail Purchase
8675,Retail Purchase
8699,Retail Purchase
8734,Retail Purchase
8911,Retail Purchase
8931,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
8999,Retail Purchase
9211,Retail Purchase
9222,Retail Purchase
9223,Retail Purchase
9311,Retail Purchase
9399,Retail Purchase
9401,Retail Purchase
9402,Retail Purchase
9405,Retail Purchase
9702,Retail Purchase
9751,Retail Purchase
9752,Retail Purchase
9753,Retail Purchase
9754,Unique
9950,Retail Purchase
